
Cap de Crabes; Pallars Sobirà; Pirineus; 2.709,8 m 
Pic de la Dona; Ripollès, Conflent; Pirineus; 2.702,5 m 
Tuc des Monges; Alta Ribagorça, La Vall d'Aran; Pirineus; 2.698,6 m 
Pic dels Feixans del Prat; Pallars Sobirà; Pirineus; 2.696,5 m 
Pic de la Bassera; Pallars Sobirà; Pirineus; 2.693,0 m 
Cap de Pleta Mala; Alta Ribagorça; Pirineus; 2.692,9 m 
les Borregues; Ripollès; Pirineus; 2.692,8 m 
Cap des Cometes; Alta Ribagorça; Pirineus; 2.681,4 m 
Tuc de Ribereta; Alta Ribagorça, La Vall d'Aran; Pirineus; 2.675,7 m 
Agulla del Portarró; Pallars Sobirà; Pirineus; 2.675,1 m 
Tuc de la Montanyeta; Alta Ribagorça; Pirineus; 2.674,8 m 
Tuc deth Cap deth Pòrt de Caldes; La Vall d'Aran; Pirineus; 2.671,4 m 
Pic de Serra Gallinera; Conflent; Pirineu; 2.663,9 m 
Agulles d'Amitges; Pallars Sobirà; Pirineus; 2.661,5 m 
Pic del Port Vell; Pallars Sobirà; Pirineus; 2.652,9 m 
el Vulturó; Alt Urgell; el Cadí, Prepirineu; 2.648,6 m 
lo Pinetó; Pallars Sobirà; Pirineus; 2.646,9 m 
Bony del Graller; Alta Ribagorça; Pirineus; 2.645,8 m 
Puig d'Ombriaga; Ripollès, Conflent; Pirineu; 2.638,6 m 
Tossal Esbonllat; Alta Ribagorça; Pirineus; 2.637,5 m 
Pujolar de Roca Grossa; Alt Urgell; el Cadí, Prepirineu; 2.611,1 m 
Pic de Costa Cabirolera; Alt Urgell, Berguedà; el Cadí, Prepirineu; 2.604,4 m 
Tossal Esbonllat*; Alta Ribagorça; Pirineus; 2.601,4 m 
Agulles de Travessani; Alta Ribagorça; Pirineus; 2.599,1 m 
el Salt del Sastre; Berguedà; el Cadí, Prepirineu; 2.591,5 m 
el Balandrau; Ripollès; Pirineu; 2.585,2 m 
Pic Roi ( o Pic de Fenerui); Alta Ribagorça; Pirineus; 2.584,9 m 
Puig de la Canal del Cristall; Alt Urgell, Cerdanya; el Cadí, Prepirineu; 2.583,0 m 
Puig de Fontlletera; Ripollès; Pirineu; 2.581,3 m 
Pic del Ferro; Alta Ribagorça; Pirineus; 2.578,6 m 
lo Covil; Pallars Sobirà; Pirineus; 2.572,9 m 
Pic de Port Negre; Pallars Sobirà; Pirineus; 2.569,8 m 
Puig del Quer; Berguedà; el Cadí, Prepirineu; 2.567,6 m 
Gra de Fajol Petit; Ripollès; Pirineu; 2.566,9 m 
Torreta de Cadí; Alt Urgell; Serra del Cadí, Prepirineu; 2.562,1 m 
Pic d'Estany Gémena; Alta Ribagorça; Pirineus; 2.553,1 m 
Comabona; Berguedà, Baixa Cerdanya; el Cadí, Prepirineu; 2.548,2 m 
Puig de Dòrria; Ripollès; Pirineu; 2.547,2 m 
Agulles de Dellui; Alta Ribagorça; Pirineus; 2.544,0 m 
El Corronco; Alta Ribagorça; Pirineu; 2.543,3 m 
Cap de l'Ovella; Pallars Sobirà; Pirineus; 2.541,0 m 
Tosa d'Alp; Berguedà, Cerdanya; Serra de Moixeró, Prepirineu; 2.536,4 m 
Tuc de Llebreta; Alta Ribagorça; Pirineus; 2.523,2 m 
Torre de Cabús; Pallars Sobirà; Pirineus; 2.518,4 m 
Cap de Copiello; Alta Ribagorça; Pirineu; 2.508,3 m 
Roca de l'Estany; Pallars Sobirà; Pirineus; 2.508,1 m 
Roca Colom; Ripollès, Vallespir, Conflent; Pirineu; 2.506,5 m 
Pollegó Superior; Berguedà; Pedraforca, Prepirineu; 2.506,4 m 
el Calderer; Berguedà; Pedraforca, Prepirineu; 2.496,7 m 
Tuc de Roques Negres; Alta Ribagorça; Pirineu; 2.488,5 m 
Aguiló; Berguedà, Baixa Cerdanya; el Cadí, Prepirineu; 2.486,6 m 
Roca Grossa; Alt Urgell; el Cadí, Prepirineu; 2.474,8 m 
Puig Terrers; Berguedà; el Cadí, Prepirineu; 2.465,7 m 
Costabona; Ripollès, Vallespir; Pirineus; 2.464,0 m 
Pic del Cabirol; Baixa Cerdanya; el Cadí, Prepirineu; 2.456,5 m 
Roc de la Trona; Baixa Cerdanya; el Cadí, Prepirineu; 2.454,5 m 
Roca del Viladre; Alt Urgell; el Cadí, Prepirineu; 2.452,4 m 
Pollegó Inferior; Berguedà; Pedraforca, Prepirineu; 2.444,8 m 
la Roca Plana; Berguedà, Baixa Cerdanya; el Cadí, Prepirineu; 2.432,8 m 
Bony dels Estanyets de Colieto; Alta Ribagorça; Pirineu; 2.418,7 m 
Puigllançada; Berguedà; Serra de Moixeró, Prepirineu; 2.409,2 m 
Puig de la Collada Verda; Vallespir, Conflent; Pirineus; 2.403 m 
Roca Verda; Baixa Cerdanya; el Cadí, Prepirineu; 2.399,5 m 
Cap del Ras de la Font Negra; Pallars Sobirà; Pirineus; 2.390,6 m 
Roca del Mig; Alt Urgell; el Cadí, Prepirineu; 2.388,9 m 
Pedró dels Quatre Batlles; Solsonès, Alt Urgell; el Port del Comte, Prepirineu; 2.386,5 m 
Bony de l'Orri; Alta Ribagorça; Pirineu; 2.363,2 m 
Puig de Pastuira; Ripollès; Pirineus; 2.353,8 m 
Roc de l'Espurga; Pallars Sobirà; Pirineus; 2.349,1 m 
Gallina pelada; Berguedà; Serra d'Ensija; 2.321,5 m 
Bony del Collar; Pallars Sobirà; Pirineus; 2.314,1 m 
Cap del Verd; Alt Urgell, Solsonès, Berguedà; Prepirineu; 2.283,8 m 
Bony Cremat; Alta Ribagorça; Pirineu; 2.281,0 m 
Penyes Altes de Moixeró; Berguedà, Baixa Cerdanya; Serra de Moixeró, Prepirineu; 2.275,9 m 
Bony dels Llorers; Pallars Sobirà; Pirineus; 2.207,2 m 
Puig Cerverís; Ripollès; Pirineus; 2.206,8 m 
Bony dels Roures; Alta Ribagorça; Pirineus; 2.086,5 m 
Cap de Boumort; Pallars Jussà; Boumort, Prepirineu; 2.077,2 m 
Bony del Tamborí; Pallars Sobirà; Pirineus; 2.062,6 m 
Cim de Pla de Pujalts; Ripollès; Serra de Montgrony, Prepirineu; 2.056,1 m 
el Taga; Ripollès; Serra de Conivella, Pirineus; 2.039,9 m 
Bony del Peçó; Pallars Sobirà; Pirineus; 2.025,9 m 
Puig Estela; Ripollès; Serra Cavallera, Pirineus; 2.013,1 m 
Bony del Raset; Pallars Sobirà; Pirineus; 2.008,2 m 
Bony del Fener Gran; Pallars Sobirà; Pirineus; 1.918,8 m 
Roca de la Cremada; Alta Ribagorça; Pirineu; 1.885,9 m 
Puig de Sant Amand; Ripollès; Serra de Sant Amand, Pirineus; 1.851,4 m 
Tossal de Sant Esperit; Alta Ribagorça; Pirineu; 1.832,7 m 
Puig Cornador; Ripollès; Girona; 1.799,7 m 
Bony del Quixol; Alt Urgell; Pirineus; 1.756,1 m 
Turó de l'Home; Vallès Oriental; massís del Montseny, Serralada Prelitoral; 1.705,8 m 
les Agudes; Selva, Vallès Oriental; massís del Montseny, Serralada Prelitoral; 1.705,4 m 
la Faiada; Alta Ribagorça, Pallars Jussà; Prepirineu; 1.698,8 m 
Matagalls; Osona, Vallès Oriental; massís del Montseny, Serralada Prelitoral; 1.697,2 m 
Pic de Lleràs; Pallars Jussà; Lleida; 1.691,9 m 
Turó de l'Home Mort; Vallès Oriental; massís del Montseny, Serralada Prelitoral; 1.677,9 m 
